group n= 10	cellName	userInput
YORF543812	10	YORF543812	no info
YORF957261	 7	YORF957261	no info
YORF594861	 7	YORF594861	no info
YORF581496	 1	YORF581496	no info
YORF972156	10	YORF972156	no info
YORF781329	 7	YORF781329	no info
YORF927463	 6	YORF927463	no info
YORF851367	 8	YORF851367	no info
YORF841726	 1	YORF841726	no info
YORF359841	 6	YORF359841	no info
YORF371625	 1	YORF371625	no info
YORF358769	10	YORF358769	no info
YORF467293	 2	YORF467293	no info
YORF634187	 2	YORF634187	no info
YORF562983	 5	YORF562983	no info
YORF453869	 3	YORF453869	no info
YORF498623	 5	YORF498623	no info
YORF324951	 4	YORF324951	no info
YORF129634	 5	YORF129634	no info
YORF236895	 5	YORF236895	no info
YORF485693	 8	YORF485693	no info
YORF682914	 4	YORF682914	no info
YORF714956	 4	YORF714956	no info
YORF763821	 1	YORF763821	no info
YORF894365	 4	YORF894365	no info
YORF293185	 3	YORF293185	no info
YORF694381	 8	YORF694381	no info
YORF891345	 8	YORF891345	no info
YORF542391	 8	YORF542391	no info
YORF825479	 5	YORF825479	no info
YORF759826	 5	YORF759826	no info
YORF178549	 4	YORF178549	no info
YORF163582	 8	YORF163582	no info
YORF315269	 2	YORF315269	no info
YORF394586	 1	YORF394586	no info
YORF631798	10	YORF631798	no info
YORF416573	 7	YORF416573	no info
YORF534798	 8	YORF534798	no info
YORF154276	 6	YORF154276	no info
YORF147925	 6	YORF147925	no info
YORF832671	 8	YORF832671	no info
YORF195842	10	YORF195842	no info
YORF398475	 3	YORF398475	no info
YORF941562	 8	YORF941562	no info
YORF827461	 3	YORF827461	no info
YORF658437	 3	YORF658437	no info
YORF146597	 3	YORF146597	no info
YORF298173	 8	YORF298173	no info
YORF253471	 1	YORF253471	no info
YORF862374	 7	YORF862374	no info
YORF873149	 3	YORF873149	no info
YORF271346	 6	YORF271346	no info
YORF789214	 4	YORF789214	no info
YORF875249	 3	YORF875249	no info
YORF319872	 3	YORF319872	no info
YORF146897	 7	YORF146897	no info
YORF763548	 6	YORF763548	no info
YORF924173	 7	YORF924173	no info
YORF362451	 8	YORF362451	no info
YORF286314	 2	YORF286314	no info
YORF269485	 1	YORF269485	no info
YORF185472	 7	YORF185472	no info
YORF673214	 2	YORF673214	no info
YORF234891	 8	YORF234891	no info
YORF386129	 5	YORF386129	no info
YORF214958	 1	YORF214958	no info
YORF618479	 1	YORF618479	no info
YORF253816	 9	YORF253816	no info
YORF827965	10	YORF827965	no info
YORF586193	 8	YORF586193	no info
YORF841725	 8	YORF841725	no info
YORF671398	 6	YORF671398	no info
YORF815742	 6	YORF815742	no info
YORF854731	 8	YORF854731	no info
YORF369782	 8	YORF369782	no info
YORF476125	 8	YORF476125	no info
YORF782914	 1	YORF782914	no info
YORF918327	 8	YORF918327	no info
YORF374169	 7	YORF374169	no info
